PERIMETER,OPENALL5_,OPENALL5_I,ACAD_TEXT,PARCEL_ID2,CNTY_CAT,NAME,CUR_LU1,CUR_LU2,FEDERAL,STATE,REGIONAL_2,REGIONAL,INDEX,LOCATION,AREA,AREA_TYPE,PP_NUMBER,P_F_LU,OWNER_TYPE,OWNER_NAME,OWNER_ADD1,OWNER_ADD2,LU_CONTROL,C_R_DEVEL,ESMNTNOINF,ESMNTDIVES,ESMNTDIVRW,ESMNTCLEAR,ESMNTACCES,ESMNTELECT,ESMNTPIPE,SPAN_BOUND,COUNTY_1,COUNTY_2,TOWNSHIP_1,TOWNSHIP_2,CITY_1,CITY_2,SOURCE_AGC,SOURCE_PER,SOURCE_PHO,SOURCE_TD,LAST_ENTRY,FIELD_CHKD,DESCRIP,ACREScalc,Edited,DowntownGS,CPCGptHide,URL,OBJECTID,Shape_Length,Shape_Area,GrnPrtClass,CITY,SizeClass,SizeScore
0,186,4978,CU08-IN-SC-P-059,CU-IN-SC-P-059,CU-IN,ST. WILLIAM'S SCHOOL & CHURCH,INSTITUTIONAL,SCHOOL/COLLEGE-PRIV,0,0,0, ,1065.00000,CITY OF EUCLID,0,CALCULATED,645-21-006, , ,HOBAN E F BISHOP OF CLEVE,367 E 260 ST,CLEVE OH 44132-1495,CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700, ,1993/11/04 00:00:00+00,N, ,6.55929839453857,y, , , ,1,893.726526236352,47532.3931724502,Other,,,
0,187,4132,CU08-PA-LM-E-141,CU-PA-LM-E-141,CU-PA,SIMS PARK,PARK,LOCAL/MUNICIPAL,0,0,0, ,122.00000,CITY OF EUCLID,0,CALCULATED,644-04-018, , ,EUCLID CITY OF,23131 LAKE SHORE BLVD,"CLEVELAND, OH  44123",CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700,"Urban Parks & Rec Recovery Action Plan, CPC, 1992",1993/11/04 00:00:00+00,Y, ,29.9416185357233,y, , , ,2,2114.44141398382,216962.063820377,Park,EUCLID,Neighborhood,3
0,189,4979,CU08-IN-SC-P-058,CU-IN-SC-P-058,CU-IN,ST. ROBERT'S SCHOOL & CHURCH,INSTITUTIONAL,SCHOOL/COLLEGE-PRIV,0,0,0, ,1064.00000,CITY OF EUCLID,0,CALCULATED,644-20-001, , ,OF CLEVE HOBAN EDWARD F BISHOP,23802 LAKESHORE BLVD,CLEVELAND OH  44123,CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700, ,1993/11/04 00:00:00+00,N, ,7.67883668737427,y, , , ,3,1192.08297357557,55641.0670094682,Other,,,
0,192,4133,CU08-PA-LM-E-140,CU-PA-LM-E-140,CU-PA,EUCLID PARK,PARK,LOCAL/MUNICIPAL,0,0,0, ,121.00000,CITY OF EUCLID,0,CALCULATED,642-10-044, , ,EUCLID CITY OF,LAKE SHORE BLVD,"CLEVELAND, OH  44123",CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700,"Urban Parks & Rec Recovery Action Plan, CPC, 1992",1993/11/04 00:00:00+00,Y, ,16.8081124037543,y, , , ,4,2010.34422806407,121783.433024644,Park,EUCLID,Neighborhood,3
0,193,4976,CU08-IN-SC-M-179,CU-IN-SC-M-179,CU-IN,UPSON SCHOOL,INSTITUTIONAL,SCHOOL/COLLEGE-MUNI,0,0,0, ,956.00000,CITY OF EUCLID,0,CALCULATED,644-14-020, , ,BOARD OF EDUCATION EUC S/D,E 260 ST,"CLEVELAND, OH  44123",CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700,"Urban Parks & Rec Recovery Action Plan, CPC, 1992",1993/11/04 00:00:00+00,Y, ,6.27861973338427,y, , , ,5,887.685896036431,45494.2330595334,Other,,,
0,196,4975,CU08-IN-SC-M-181,CU-IN-SC-M-181,CU-IN,SCHOOL,INSTITUTIONAL,SCHOOL/COLLEGE-MUNI,0,0,0, ,958.00000,CITY OF EUCLID,0,CALCULATED,644-17-001, , ,BOARD OF EDUCATION OF EUCLID,WILDWOOD DR,"CLEVELAND, OH  44123",CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700,"Urban Parks & Rec Recovery Action Plan, CPC, 1992",1993/11/05 00:00:00+00,Y,ADJACENT TO CU08-MO-GO-M-011,7.12308587487283,y, , , ,6,921.567972846795,51609.26923091,Other,,,
0,200,4988,CU09-MO-MU-E-121,CU-MO-MU-E-121,CU-MO,WATER/SEWER,TRANSP/UTILITY,OPEN SPACE,0,0,0, ,460.00000,CITY OF EUCLID,0,CALCULATED,648-16-001, , ,EUCLID CITY OF,27700 LAKELAND BLVD,"CLEVELAND, OH  44132",CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700, ,1993/11/08 00:00:00+00,N, ,13.908030331476,y, , , ,8,1399.01731000201,100754.976725138,Other,,,
0,202,4165,CU08-IN-SC-M-178,CU-IN-SC-M-178,CU-IN,SCHOOL,INSTITUTIONAL,SCHOOL/COLLEGE-MUNI,0,0,0, ,955.00000,CITY OF EUCLID,0,CALCULATED,644-27-001, , ,BD OF EDUC SHORE HIGH SCHOOL,BABBITT RD,"CLEVELAND, OH  44123",CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700,"Urban Parks & Rec Recovery Action Plan, CPC, 1992",1993/11/04 00:00:00+00,Y,Athletic field behind bus parking,3.61821006141186,y, , , ,9,693.486720205149,26212.30418476,Other,,,
0,203,4973,CU09-IN-SC-M-180,CU-IN-SC-M-180,CU-IN,Forest Park Middle School,INSTITUTIONAL,SCHOOL/COLLEGE-MUNI,0,0,0, ,957.00000,CITY OF EUCLID,0,CALCULATED,645-33-004, , ,EDUCATION BOARD OF,PARKLANE DR,EUCLID OH  44132,CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700,"Urban Parks & Rec Recovery Action Plan, CPC, 1992",,Y, ,9.03765290940081,y, , , ,10,1103.45345709265,65473.0226298379,Other,,,
0,209,4987,CU08-MO-MI-E-007,CU-MO-MI-E-007,CU-MO,YMCA,RECREATIONAL,CLUB,0,0,0, ,361.00000,CITY OF EUCLID,0,CALCULATED,644-30-001, , ,EUCLID CITY OF,COLONIAL PKWY,"CLEVELAND, OH  44123",CITY OF EUCLID ZONING,NO INFORMATION,X, , , , , , ,NO, , , , , , ,Cuy Cty Plg Comm 323 Lakeside Ave W Cleve Oh 44113,"Richard Sicha, Principal Planner",(216)443-3700, ,1993/11/15 00:00:00+00,N,ADJACENT TO CU08-MO-GO-M-011,4.56371965844461,y, , , ,11,923.347132621534,33057.5153013263,Other,,,
